model,dataset,sampler,num_frames,n_items,n_instances,I_Acc,I_Acc_lo,I_Acc_hi,Q_Acc,V_Acc,Acc,yes_rate,TP,FP,FN,TN,invalid,sensitivity,specificity,youden_J,J_lo,J_hi,z_I_Acc_vs_chance,z_Acc_vs_chance
Eagle-2.5-8B,timeblind,uniform,1,1200,600,1.33,0.68,2.61,5.33,25.25,48.0,52.33,291,337,309,263,0,48.5,43.83,-7.67,-13.3,-2.03,-4.98,-1.96
Eagle-2.5-8B,timeblind,uniform,4,1200,600,13.5,11.0,16.47,22.83,38.67,59.62,66.58,444,355,156,245,0,74.0,40.83,14.83,9.56,20.1,7.34,9.43
Eagle-2.5-8B,timeblind,uniform,8,1200,600,17.83,14.98,21.1,28.83,44.0,63.08,66.83,464,338,136,262,0,77.33,43.67,21.0,15.81,26.19,11.72,12.82
Eagle-2.5-8B,timeblind,uniform,16,1200,600,21.33,18.24,24.79,33.33,46.75,65.62,68.0,481,335,119,265,0,80.17,44.17,24.33,19.24,29.43,15.26,15.31
Eagle-2.5-8B,timeblind,uniform,24,1200,600,22.83,19.65,26.36,35.0,48.92,66.46,67.25,484,323,116,277,0,80.67,46.17,26.83,21.74,31.92,16.78,16.13
Eagle-2.5-8B,timeblind,random,1,1200,600,3.33,2.17,5.09,11.08,29.67,52.29,55.83,345,325,255,275,0,57.5,45.83,3.33,-2.28,8.95,-2.95,2.25
Eagle-2.5-8B,timeblind,random,4,1200,600,10.83,8.59,13.57,21.25,37.17,58.29,64.17,422,348,178,252,0,70.33,42.0,12.33,6.95,17.71,4.64,8.12
Eagle-2.5-8B,timeblind,random,8,1200,600,17.0,14.21,20.21,28.17,43.17,62.71,65.33,454,330,146,270,0,75.67,45.0,20.67,15.41,25.92,10.88,12.45
Eagle-2.5-8B,timeblind,random,16,1200,600,22.67,19.5,26.18,33.25,47.25,65.42,65.83,463,327,137,273,0,77.17,45.5,22.67,17.46,27.88,16.61,15.11
Eagle-2.5-8B,timeblind,random,24,1200,600,21.83,18.71,25.31,33.33,47.42,65.67,67.17,478,328,122,272,0,79.67,45.33,25.0,19.88,30.12,15.77,15.35
Eagle-2.5-8B,timeblind,hornet,1,1200,600,2.67,1.65,4.29,9.33,28.92,50.96,50.0,306,294,294,306,0,51.0,51.0,2.0,-3.66,7.66,-3.63,0.94
Eagle-2.5-8B,timeblind,hornet,4,1200,600,6.0,4.37,8.19,15.92,32.83,54.5,52.5,336,294,264,306,0,56.0,51.0,7.0,1.36,12.64,-0.25,4.41
Eagle-2.5-8B,timeblind,hornet,8,1200,600,13.33,10.85,16.29,23.67,40.5,59.38,53.5,366,276,234,324,0,61.0,54.0,15.0,9.42,20.58,7.17,9.19
Eagle-2.5-8B,timeblind,hornet,16,1200,600,20.0,16.99,23.39,31.5,45.92,63.79,59.0,422,286,178,314,0,70.33,52.33,22.67,17.25,28.08,13.91,13.51
Eagle-2.5-8B,timeblind,hornet,24,1200,600,24.17,20.91,27.75,35.42,49.42,66.38,62.42,454,295,146,305,0,75.67,50.83,26.5,21.23,31.77,18.13,16.04
